item,BT_Score_Item
hadsx14,2.8187370168022665e-08
hadsx7,1.908715065013389e-08
hadsx4,6.31531541457623e-09
hadsx12,4.511539060744125e-09
hadsx11,4.4585704902732345e-09
hadsx5,3.964011744497104e-09
hadsx10,3.652743629044371e-09
hadsx6,2.168305435064497e-09
hadsx13,1.2909170929883519e-09
hadsx9,1.1019042939171595e-09
hadsx1,9.854524611813991e-10
hadsx3,8.683473748692206e-10
hadsx8,8.037614429795129e-10
hadsx2,1.8617468567155764e-10
