id,BT_Score_Bipartite,BT_Strength_Bipartite,BT_Total_Wins
1,0.6331738067108033,1.8835792189652567,12.0
2,2.7966972269208066,16.39042342743489,18.0
3,-0.1783381875297083,0.8366594278535548,9.0
4,1.2023738783888167,3.3280078388797882,14.0
5,-1.7506359546926684,0.17366346622862158,4.0
6,-1.7506359546926684,0.17366346622862158,4.0
7,-2.722674056086921,0.06569883694978011,2.0
8,-2.722674056086921,0.06569883694978011,2.0
9,-2.179724708774274,0.11307265426581173,3.0
10,-1.7506359546926684,0.17366346622862158,4.0
11,0.9111675491506434,2.4872247959860214,13.0
12,1.5155383840492433,4.551871122073627,15.0
13,-1.0516426299147443,0.349363402744572,6.0
14,-2.179724708774274,0.11307265426581173,3.0
15,-2.179724708774274,0.11307265426581173,3.0
16,-1.7506359546926684,0.17366346622862158,4.0
17,-1.7506359546926684,0.17366346622862158,4.0
18,-2.179724708774274,0.11307265426581173,3.0
19,-1.7506359546926684,0.17366346622862158,4.0
20,-3.549157190102058,0.028748859269686993,1.0
21,2.273399999944665,9.71236678670042,17.0
22,1.2023738783888167,3.3280078388797882,14.0
23,8.37497915244187,4337.17785797324,20.0
24,-0.4563580939603039,0.6335869128240579,8.0
25,0.6331738067108033,1.8835792189652567,12.0
26,-3.549157190102058,0.028748859269686993,1.0
27,-1.7506359546926684,0.17366346622862158,4.0
28,-27.631020715519405,1.0000004004092242e-12,0.0
29,-1.382443817216711,0.2509644916929143,5.0
30,8.37497915244187,4337.17785797324,20.0
31,1.5155383840492433,4.551871122073627,15.0
32,8.37497915244187,4337.17785797324,20.0
33,2.7966972269208066,16.39042342743489,18.0
34,1.2023738783888167,3.3280078388797882,14.0
35,2.273399999944665,9.71236678670042,17.0
36,0.6331738067108033,1.8835792189652567,12.0
37,-0.4563580939603039,0.6335869128240579,8.0
38,0.3621333091677741,1.4363904132082153,11.0
39,2.7966972269208066,16.39042342743489,18.0
40,-1.382443817216711,0.2509644916929143,5.0
41,-3.549157190102058,0.028748859269686993,1.0
42,8.37497915244187,4337.17785797324,20.0
43,3.6048193576295913,36.77504012677225,19.0
44,-2.722674056086921,0.06569883694978011,2.0
45,2.273399999944665,9.71236678670042,17.0
46,1.2023738783888167,3.3280078388797882,14.0
47,-1.7506359546926684,0.17366346622862158,4.0
48,-1.0516426299147443,0.349363402744572,6.0
49,-2.722674056086921,0.06569883694978011,2.0
50,1.2023738783888167,3.3280078388797882,14.0
51,-3.549157190102058,0.028748859269686993,1.0
52,-1.0516426299147443,0.349363402744572,6.0
53,-1.382443817216711,0.2509644916929143,5.0
54,2.7966972269208066,16.39042342743489,18.0
55,0.09308085365106662,1.0975504726436063,10.0
56,8.37497915244187,4337.17785797324,20.0
57,3.6048193576295913,36.77504012677225,19.0
58,-3.549157190102058,0.028748859269686993,1.0
59,-1.382443817216711,0.2509644916929143,5.0
60,1.2023738783888167,3.3280078388797882,14.0
61,-2.179724708774274,0.11307265426581173,3.0
62,-3.549157190102058,0.028748859269686993,1.0
63,1.2023738783888167,3.3280078388797882,14.0
64,2.273399999944665,9.71236678670042,17.0
65,0.9111675491506434,2.4872247959860214,13.0
66,-0.1783381875297083,0.8366594278535548,9.0
67,0.9111675491506434,2.4872247959860214,13.0
68,-3.549157190102058,0.028748859269686993,1.0
69,-27.631020715519405,1.0000004004092242e-12,0.0
70,-1.0516426299147443,0.349363402744572,6.0
71,-1.382443817216711,0.2509644916929143,5.0
72,-1.382443817216711,0.2509644916929143,5.0
73,-3.549157190102058,0.028748859269686993,1.0
74,1.5155383840492433,4.551871122073627,15.0
75,-1.7506359546926684,0.17366346622862158,4.0
76,-27.631020715519405,1.0000004004092242e-12,0.0
77,-0.7455785192594172,0.47445973643208744,7.0
78,1.2023738783888167,3.3280078388797882,14.0
79,8.37497915244187,4337.17785797324,20.0
80,1.2023738783888167,3.3280078388797882,14.0
81,-1.7506359546926684,0.17366346622862158,4.0
82,1.864345408603063,6.451711268750978,16.0
83,-3.549157190102058,0.028748859269686993,1.0
84,-1.0516426299147443,0.349363402744572,6.0
85,0.09308085365106662,1.0975504726436063,10.0
