id,BT_Score_Bipartite,BT_Strength_Bipartite,BT_Total_Wins,theta_2PL,se_2PL,theta_1PL,se_1PL
1,0.6331738067108033,1.8835792189652567,12.0,0.008086846163486643,0.07368185784174014,0.237893220830109,0.44425348254662983
2,2.7966972269208066,16.39042342743489,18.0,0.8183561646593192,0.2830133314097957,1.5972730011752376,0.5302868214788246
3,-0.1783381875297083,0.8366594278535548,9.0,-0.009094658549341402,0.07806270464194126,-0.34197848210489984,0.4423268470045798
4,1.2023738783888167,3.3280078388797882,14.0,0.13238314637729615,0.2687721408194793,0.6441567381084209,0.45674975921481575
5,-1.7506359546926684,0.17366346622862158,4.0,-0.7326466583387551,0.18718033467957382,-1.3792428402798007,0.480996615577575
6,-1.7506359546926684,0.17366346622862158,4.0,-0.7505726999705712,0.21186438284939793,-1.3792428402798014,0.4809966155775752
7,-2.722674056086921,0.06569883694978011,2.0,-1.4171692814108154,0.34117795415653507,-1.8805070197845477,0.5235080749952267
8,-2.722674056086921,0.06569883694978011,2.0,-1.3111843493880149,0.32796493593085624,-1.8805070197845475,0.5235080749952267
9,-2.179724708774274,0.11307265426581173,3.0,-0.9421398482682509,0.33842893679810354,-1.6191132030470632,0.4996121170621584
10,-1.7506359546926684,0.17366346622862158,4.0,-0.9420855015210315,0.3384133907688156,-1.3792428402798007,0.48099661557757495
11,0.9111675491506434,2.4872247959860214,13.0,0.0031519930366060256,0.04643428248975614,0.4384193451634282,0.450874642575472
12,1.5155383840492433,4.551871122073627,15.0,0.22205269733535205,0.31821327106190644,0.8576391190911923,0.46855803871916646
13,-1.0516426299147443,0.349363402744572,6.0,-0.6366946357807535,0.1649859092886589,-0.9397274248871861,0.45724217541404494
14,-2.179724708774274,0.11307265426581173,3.0,-1.0064054917966858,0.3514824971194117,-1.6191132030470619,0.49961211706215836
15,-2.179724708774274,0.11307265426581173,3.0,-0.856428057941619,0.30253908331902235,-1.6191132030470616,0.49961211706215825
