id,BT_Score_Bipartite,BT_Strength_Bipartite,BT_Total_Wins
1,-27.631022991708967,9.999981242213394e-13,0.0
2,0.3175971732788417,1.3738227372392249,5.0
3,2.2938490165724312,9.913019722147942,8.0
4,-0.16591355292196697,0.847119462026425,4.0
5,-0.16591355292196697,0.847119462026425,4.0
6,1.4260182140325162,4.162093588038397,7.0
7,0.3175971732788417,1.3738227372392249,5.0
8,-0.16591355292196697,0.847119462026425,4.0
9,1.4260182140325162,4.162093588038397,7.0
10,-0.16591355292196697,0.847119462026425,4.0
11,-0.16591355292196697,0.847119462026425,4.0
12,2.2938490165724312,9.913019722147942,8.0
13,-1.2655694507344033,0.28207862051882593,2.0
14,0.8263233633360252,2.2849025216711008,6.0
15,-0.16591355292196697,0.847119462026425,4.0
16,0.3175971732788417,1.3738227372392249,5.0
17,-0.6716375625189599,0.5108713087262472,3.0
18,0.3175971732788417,1.3738227372392249,5.0
19,-0.6716375625189599,0.5108713087262472,3.0
20,1.4260182140325162,4.162093588038397,7.0
21,-0.6716375625189599,0.5108713087262472,3.0
22,0.3175971732788417,1.3738227372392249,5.0
23,1.4260182140325162,4.162093588038397,7.0
24,-0.6716375625189599,0.5108713087262472,3.0
25,7.883846721042711,2654.0623860568076,9.0
26,1.4260182140325162,4.162093588038397,7.0
27,-0.6716375625189599,0.5108713087262472,3.0
28,0.3175971732788417,1.3738227372392249,5.0
29,0.8263233633360252,2.2849025216711008,6.0
30,-0.6716375625189599,0.5108713087262472,3.0
31,-0.6716375625189599,0.5108713087262472,3.0
32,1.4260182140325162,4.162093588038397,7.0
33,0.3175971732788417,1.3738227372392249,5.0
34,0.8263233633360252,2.2849025216711008,6.0
35,1.4260182140325162,4.162093588038397,7.0
36,-0.16591355292196697,0.847119462026425,4.0
37,-0.16223160138734,0.8502442639841438,3.0
38,2.2938490165724312,9.913019722147942,8.0
39,-0.16591355292196697,0.847119462026425,4.0
40,-0.16591355292196697,0.847119462026425,4.0
41,-0.6716375625189599,0.5108713087262472,3.0
42,-0.16591355292196697,0.847119462026425,4.0
43,7.883846721042711,2654.0623860568076,9.0
44,-2.1253224703916223,0.11939446087974982,1.0
45,-0.16591355292196697,0.847119462026425,4.0
46,-1.2655694507344033,0.28207862051882593,2.0
47,2.2938490165724312,9.913019722147942,8.0
48,0.3175971732788417,1.3738227372392249,5.0
49,0.3175971732788417,1.3738227372392249,5.0
50,-0.16591355292196697,0.847119462026425,4.0
51,-0.16591355292196697,0.847119462026425,4.0
52,1.4260182140325162,4.162093588038397,7.0
53,-1.2655694507344033,0.28207862051882593,2.0
54,0.8263233633360252,2.2849025216711008,6.0
55,1.4260182140325162,4.162093588038397,7.0
56,-0.6716375625189599,0.5108713087262472,3.0
57,-0.6716375625189599,0.5108713087262472,3.0
58,-0.16591355292196697,0.847119462026425,4.0
59,0.3175971732788417,1.3738227372392249,5.0
60,-0.6716375625189599,0.5108713087262472,3.0
61,0.8263233633360252,2.2849025216711008,6.0
62,7.883846721042711,2654.0623860568076,9.0
63,1.4260182140325162,4.162093588038397,7.0
64,0.8263233633360252,2.2849025216711008,6.0
65,1.4260182140325162,4.162093588038397,7.0
66,0.5607398069997749,1.7519681392684308,4.0
67,1.4260182140325162,4.162093588038397,7.0
68,0.8263233633360252,2.2849025216711008,6.0
69,-0.6716375625189599,0.5108713087262472,3.0
70,0.3175971732788417,1.3738227372392249,5.0
71,-0.16591355292196697,0.847119462026425,4.0
72,-0.6716375625189599,0.5108713087262472,3.0
73,0.3175971732788417,1.3738227372392249,5.0
74,-0.16591355292196697,0.847119462026425,4.0
75,7.883846721042711,2654.0623860568076,9.0
76,-0.16591355292196697,0.847119462026425,4.0
77,-1.2655694507344033,0.28207862051882593,2.0
78,0.3175971732788417,1.3738227372392249,5.0
79,-1.2655694507344033,0.28207862051882593,2.0
80,0.8263233633360252,2.2849025216711008,6.0
81,-1.2655694507344033,0.28207862051882593,2.0
82,0.3175971732788417,1.3738227372392249,5.0
83,1.4260182140325162,4.162093588038397,7.0
84,2.2938490165724312,9.913019722147942,8.0
85,-1.2655694507344033,0.28207862051882593,2.0
86,-0.16591355292196697,0.847119462026425,4.0
87,0.3175971732788417,1.3738227372392249,5.0
88,-0.16591355292196697,0.847119462026425,4.0
89,-0.16591355292196697,0.847119462026425,4.0
90,0.3175971732788417,1.3738227372392249,5.0
91,-0.6716375625189599,0.5108713087262472,3.0
92,2.2938490165724312,9.913019722147942,8.0
93,0.8263233633360252,2.2849025216711008,6.0
94,0.4940681276983916,1.6389702162588666,2.0
95,-0.16591355292196697,0.847119462026425,4.0
96,-2.1253224703916223,0.11939446087974982,1.0
97,2.2938490165724312,9.913019722147942,8.0
98,-1.2655694507344033,0.28207862051882593,2.0
99,-1.2655694507344033,0.28207862051882593,2.0
100,0.3175971732788417,1.3738227372392249,5.0
101,1.4260182140325162,4.162093588038397,7.0
