id,theta,se
1,-0.9119163785108297,0.8379877182518061
2,0.16030343701798996,0.49144842326436766
3,1.369864740558179,0.6395196359866483
4,-0.11388772580098412,0.483466895710725
5,-0.0807050570940304,0.4834702575105206
6,0.747634892011364,0.5484229304797543
7,-0.22421524973159784,0.4850434853967932
8,-0.11388772580098412,0.483466895710725
9,0.6497822678490182,0.5365926767899782
10,0.1352389249221033,0.48998589919557023
11,-0.22715123999377784,0.4851140963027422
12,1.1291088364706658,0.6022229377185689
13,-1.2308120920214143,0.5825684407492392
14,0.5148167338659793,0.5217830993561043
15,-0.3594329432183352,0.48947852305321216
16,0.0250915975466892,0.4852341583290302
17,-0.4214439017090802,0.4922292115235523
18,0.020989034592037922,0.48511390568604046
19,-0.7459872853524714,0.5158566458783942
20,1.1407168237904468,0.6039917894699895
21,-0.7467139820478403,0.515931112326834
22,0.05550224144815724,0.48625621916718365
23,0.6109476229873887,0.5321566408200713
24,-0.4214439017090802,0.4922292115235523
25,1.5553965957770506,0.6684628763997974
26,0.9698107734082737,0.5785469375147227
27,-0.4436900638940441,0.4933252591011707
28,0.04344023458771232,0.48582340251515377
29,0.6207787763592183,0.5332659423137157
30,-0.8779586620263858,0.5309758895216276
31,-0.5857358664848505,0.5019350344363779
32,1.0064078225047135,0.5838687183333235
33,0.2745987956326036,0.4995574480388486
34,0.44637644717528757,0.5148999105314577
35,1.0238908730472043,0.5864389669028715
36,-0.22305051895753014,0.4850158354740982
37,-0.07754856191343829,0.5922883778169262
38,1.305693223257161,0.6294965672605721
39,-0.11249231754671503,0.48346212998594534
40,-0.05663163817168604,0.48363108277920336
41,-0.5022138726453791,0.49651170772988623
42,-0.03763356457569157,0.4838560756391126
43,1.5553965957770506,0.6684628763997974
44,-1.037803262788723,0.5528557890095969
45,-0.0807050570940304,0.4834702575105206
46,-0.5277809522333392,0.49805461527583655
47,0.8519743192217667,0.5620496164980235
48,-0.03227054096047209,0.48393556638747887
49,0.0250915975466892,0.4852341583290302
50,-0.3011591622618319,0.48729029712926925
51,-0.35814360130596323,0.4894259380264985
52,0.5406103314760643,0.5244839833320654
53,-0.9095157707588959,0.5350260294157967
54,0.4889833896721335,0.5191369410410178
55,0.9698107734082737,0.5785469375147227
56,-0.9413812414343565,0.5392627089136998
57,-0.9022134841179505,0.5340755056496276
58,-0.3964527011317899,0.49106791951101475
59,0.1413787380216602,0.490332156842301
60,-0.5035408833258305,0.4965894132845857
61,0.41780642686279706,0.5121479242933547
62,1.5553965957770506,0.6684628763997974
63,1.0064078225047135,0.5838687183333235
64,0.15910785157247015,0.49137575978039844
65,0.6811916440133143,0.5402876428087384
66,0.4288010435888589,0.6267330800034279
67,1.1407168237904468,0.6039917894699895
68,0.42123886381330694,0.5124747158535694
69,-0.8101434612523741,0.522817151030626
70,0.2408370879348742,0.49694428165875476
71,-0.3359927206013561,0.48855167357196005
72,-0.5028870443907524,0.49655109473015796
73,0.16030343701798996,0.49144842326436766
74,-0.08440003029596703,0.4834575826111385
75,1.5553965957770506,0.6684628763997974
76,-0.6530443377922042,0.5071825569873661
77,-0.671488407723712,0.5087697217920902
78,-0.01096268903379774,0.484321827930389
79,-0.8385830451421321,0.526143469848549
80,0.5148167338659793,0.5217830993561043
81,-1.0300083500748616,0.5517188476961279
82,0.19499524777034088,0.4936762445764844
83,0.6505685815341147,0.5366840018951453
84,1.2197700631989443,0.616143384541569
85,-1.0791654666300583,0.5589848250177187
86,0.1352389249221033,0.48998589919557023
87,0.550771884711654,0.5255643651226904
88,-0.3964527011317899,0.49106791951101475
89,-0.28731055492722724,0.48682881610780754
90,0.10232033873185584,0.48826887227398647
91,-0.6831578204265144,0.5098080389409986
92,1.1790589356017913,0.609864661056937
93,0.27920591632899916,0.4999262588339712
94,0.44959583841740725,0.8327255670403261
95,-0.3359927206013561,0.48855167357196005
96,-1.3043785394350318,0.5944791755092479
97,1.2197700631989443,0.616143384541569
98,-0.8385830451421321,0.526143469848549
99,-0.7354689071113404,0.5147902683739951
100,0.2408370879348742,0.49694428165875476
101,1.0064078225047135,0.5838687183333235
102,0.44984594214583107,0.5152390091775074
103,0.020346919625257545,0.8256806473665719
104,0.7613887021836028,0.5501607613259059
105,-0.5643991815234379,0.5004415493932162
106,-0.8385830451421321,0.526143469848549
107,0.8295155191396499,0.5590324644788447
108,-0.22960519890641864,0.4851741091227372
109,-0.5310263315784165,0.4982575384366932
110,-0.6228025436743084,0.5047210268688102
111,0.5140734607832831,0.5217061452941549
112,-1.4442370900626589,0.617687080300601
113,0.3146388790347467,0.502852324531592
114,-0.17105254999501057,0.4840053214799988
115,0.747634892011364,0.5484229304797543
116,-0.36190618248378914,0.48957991339912055
117,-0.6596252787002703,0.5077413187450318
118,0.6737439839949513,0.5394027704967107
119,0.6737439839949513,0.5394027704967107
120,0.6819888286111644,0.5403826806628029
121,0.18165952611943378,0.49279318151707735
122,0.020346919625257545,0.8256806473665719
123,-0.595318296125918,0.5026315457048435
124,0.7230224496936175,0.5453589357661344
125,0.7952778367110024,0.5545199057399506
126,-0.8385830451421321,0.526143469848549
127,0.9340749150692889,0.5734343345066434
128,0.04588289006914295,0.4859081544793815
129,0.01791191996324923,0.4850264778466055
130,-0.024794834764283902,0.4840582279486388
131,-0.9022134841179505,0.5340755056496276
132,-0.4482761744567264,0.493558762327872
133,-1.0791654666300583,0.5589848250177187
134,0.8195657382811079,0.557710077660854
